Risks,Annual_Returns,MSFT,AMZN,AAPL,GOOG,FB,TSLA,PHO,NFLX,PBW,AZN,ZM,QDEL,IMMU,LVGO,NRG,BE,PLUG,NVAX,AMD,NVDA,Sortino_Ratio
0.013643093417225919,8.460241343569676,0.0,0.0,3.688654037791755e-18,1.6085384014569032e-18,1.7319732835985032e-17,3.019445355972776e-17,0.05848929825341125,2.8426378527838104e-16,3.847697157896275e-17,0.22735974250533364,0.2887684628372787,0.09047849999300084,3.0201128873803055e-18,0.17427949259240924,0.0,0.14285548057925776,0.0,0.017769023239308273,3.3689480252464357e-17,5.011255143347358e-18,5.39
0.013732103007248793,8.538576911565691,1.49414253761936e-17,1.5487924640175468e-17,0.0,3.400383325234204e-17,0.0,7.979029414879915e-17,0.05346551511778097,0.0,0.0,0.22755283276350416,0.2927135666075525,0.08963243653988585,0.0,0.17490770472566602,3.118744378052263e-18,0.14444268696143728,5.07380325262088e-17,0.017285257284173176,0.0,0.0,5.42
0.013821636104584716,8.616912479561707,0.0,1.3874845942461356e-18,1.6890852126366644e-17,0.0,1.2554698306056375e-17,0.0,0.04844081194982636,0.0,0.0,0.2265603756679387,0.29505120031604193,0.09033377544665946,1.9247253316816324e-18,0.17754220719907277,0.0,0.14506345019435138,1.114982459504534e-17,0.01700817922610935,1.5957130329687702e-17,2.2413615930802657e-18,5.44
0.013911660940022049,8.695248047557723,1.134974993212911e-17,0.0,5.224945850643034e-18,0.0,0.0,0.0,0.04343249646772265,0.0,0.0,0.2248566806697144,0.29666363430425363,0.09184494258602749,0.0,0.1809930299963055,0.0,0.14538306220264505,0.0,0.016826153773331395,0.0,0.0,5.46
0.014000788446388995,8.773583615553738,0.0,2.993175953563746e-18,0.0,0.0,2.3534731982285785e-17,9.895539221113022e-17,0.038032583711602015,7.772040875270283e-17,6.046058787606319e-18,0.22454588012102716,0.3002472219127623,0.0918948254605089,1.8923700062487144e-18,0.1818287428910529,0.0,0.14714907037238267,1.164592395940877e-17,0.01630167553066392,6.306332054802615e-17,0.0,5.48
0.014089870945524384,8.851919183549754,0.0,0.0,7.61498944192224e-18,0.0,7.469385447411997e-18,0.0,0.032474584479007064,0.0,1.1264621878499832e-17,0.22437345696848898,0.3039108764943188,0.09168617610925577,1.2535133157780182e-17,0.1824837195394293,6.3772286109282394e-18,0.1490269106942357,0.0,0.01604427571526441,0.0,0.0,5.5
0.014179197409440063,8.93025475154577,9.607858778185265e-19,0.0,0.0,0.0,2.1268145026575448e-17,0.0,0.026582906659656645,0.0,2.637658692826315e-17,0.2242728358290844,0.30729561472315353,0.09167026675059518,4.421185399122478e-18,0.18345162438344353,7.653010531386339e-18,0.15076806437307133,0.0,0.015958687280995566,5.238829540186255e-17,9.519506629943738e-18,5.52
0.01426951613268059,9.008590319541785,0.0,0.0,0.0,1.7172526286346155e-17,5.846644923332777e-18,5.3496670298368335e-17,0.021277255479558027,7.670071369822643e-17,0.0,0.22303509011049813,0.3088408012016859,0.0928014313915894,0.0,0.1869290686340937,0.0,0.15110670119465203,0.0,0.016009651987922622,0.0,0.0,5.54
0.014358471286445766,9.0869258875378,7.078183618967818e-19,3.878857877906078e-18,0.0,0.0,1.1888260605318046e-17,0.0,0.01602890130557292,1.1798580677997748e-17,1.0588241801141832e-18,0.22268506061966342,0.3130240444008185,0.09203349649661216,7.509494448130857e-18,0.186944564722696,2.6203682090711376e-18,0.15314699145692037,3.790126122316839e-18,0.016136940997716828,0.0,0.0,5.56
0.014447315773689826,9.165261455533816,7.330154338115725e-19,9.309827072307322e-20,0.0,3.695248405814485e-19,2.9640854274410786e-17,2.111189413433081e-17,0.00946388040674428,0.0,5.780846068874127e-18,0.22186272227863366,0.31697733422363183,0.09341476803292391,0.0,0.1868116455298892,0.0,0.15588398766390665,2.6386247081602113e-17,0.015585661864270479,2.389251902448065e-17,0.0,5.58
